1, pitcher, PitcherAssm.STL, PitcherAssm_P.ply,0.0005
2, spray bottle, SprayBottle.STL, SprayBottle_P.ply,0.0005
3, pringles can, PringlesCan.STL, PringlesCan_P.ply,0.0005
4, margarita glass, WineGlass.STL, WineGlass_P.ply,0.0005
5, cereal box, CerealBox.STL, CerealBox_P.ply,0.0005
6, graham cracker box, CrackerBox.STL, CrackerBox_P.ply,0.0005
9, remote, Remote.STL, Remote_P.ply,0.0005
11, food clip, FoodClip.STL, FoodClip_P.ply,0.0005
13, soap dispenser, SoapDispenser.STL, SoapDispenser_P.ply,0.0005
15, chunk of foam, Chunk_of_foam.STL, Chunk_of_foam_P.ply,0.0005
17, ball, Ball.STL, Ball_P.ply,0.0005
18, thunderstick, ThunderStick.STL, ThunderStick_P.ply,0.0005
19, snowman, SnowMan.STL, SnowMan_P.ply,0.0005
22, tape roll, TapeRoll.STL, TapeRoll_P.ply,0.0005
